title,releaseDate,productionCompany
Borat! Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-08-04,Ingenious Media
Borat! Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-08-04,Talkback
Borat! Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-08-04,Channel 4
Children of Men,2006-09-03,Strike Entertainment
Children of Men,2006-09-03,Hit and Run Productions
Children of Men,2006-09-03,Toho-Towa
Happy Feet,2006-11-17,Village Roadshow Pictures
Happy Feet,2006-11-17,Animal Logic
Happy Feet,2006-11-17,Kennedy Miller Productions
Happy Feet,2006-11-17,Kingdom Feature Productions
Cars,2006-05-26,Pixar Animation Studios
Monster House,2006-06-30,Columbia Pictures
Monster House,2006-06-30,Relativity Media
Monster House,2006-06-30,ImageMovers
Monster House,2006-06-30,Amblin Entertainment
The Lives of Others,2006-03-23,Wiedemann & Berg
The Lives of Others,2006-03-23,Bayerischer Rundfunk
The Lives of Others,2006-03-23,Arte
The Lives of Others,2006-03-23,Creado Film
After the Wedding,2006-02-24,Det Danske Filminstitut Sigma Films Sveriges Television Zentropa Entertainments
Water,2005-09-09,David Hamilton Productions
An Inconvenient Truth,2006-05-24,Participant Productions
An Inconvenient Truth,2006-05-24,Lawrence Bender Productions
Deliver Us from Evil,2006-10-13,Disarming Films
The Blood of Yingzhou District《潁州的孩子》,1999-09-19,Thomas Lennon Films
The Blood of Yingzhou District《潁州的孩子》,1999-09-19,China AIDS Media Project
Rehearsing a Dream,1999-09-19,Simon & Goodman Picture Co.
Binta and the Great Idea,2004-10-25,Películas Pendelton
The Saviour,2005-06-18,Australian Film Television and Radio School
Lifted,2006-10-12,Pixar Animation Studios
The Little Matchgirl,2006-07-07,Walt Disney Animation Studios Walt Disney Pictures
No Time for Nuts,2006-11-21,Blue Sky Studios 20th Century Fox Animation
The Good German,2006-12-15,Virtual Studios Section Eight
Apocalypto,2006-12-08,Touchstone Pictures
Apocalypto,2006-12-08,Icon Productions
Flags of Our Fathers,2006-10-20,DreamWorks Pictures
Flags of Our Fathers,2006-10-20,Malpaso Productions
Flags of Our Fathers,2006-10-20,Amblin Entertainment
Pirates of the Caribbean:Dead Man's Chest,2006-06-24,Walt Disney Pictures
Pirates of the Caribbean:Dead Man's Chest,2006-06-24,Jerry Bruckheimer Films
The Good Shepherd,2006-12-22,Morgan Creek Productions
The Good Shepherd,2006-12-22,TriBeCa Productions
The Good Shepherd,2006-12-22,American Zoetrope
The Prestige,2006-10-17,Touchstone Pictures
The Prestige,2006-10-17,Warner Bros. Pictures
The Prestige,2006-10-17,Newmarket Films
The Prestige,2006-10-17,Syncopy
The Black Dahlia,2006-08-30,Davis Films
The Black Dahlia,2006-08-30,Millennium Films
The Black Dahlia,2006-08-30,Nu Image
The Black Dahlia,2006-08-30,Signature Pictures
The Illusionist,2006-08-18,Bob Yari Productions Contagious Entertainment Miracle Pictures Stillking Films
Click,2006-06-23,Columbia Pictures
Click,2006-06-23,Revolution Studios
Click,2006-06-23,Happy Madison Productions
Click,2006-06-23,Original Film
Marie Antoinette,2006-05-24,Columbia Pictures
Marie Antoinette,2006-05-24,American Zoetrope
Marie Antoinette,2006-05-24,Pricel
Marie Antoinette,2006-05-24,Tohokushinsha Film Corporation
Curse of the Golden Flower,2006-12-21,Edko Films
Poseidon,2006-05-06,Virtual Studios
Poseidon,2006-05-06,Irwin Allen Productions
Poseidon,2006-05-06,Next Entertainment
Poseidon,2006-05-06,Radiant Productions
Poseidon,2006-05-06,Synthesis Entertainment
Superman Returns,2006-06-21,Warner Bros. Pictures
Superman Returns,2006-06-21,Legendary Pictures
Superman Returns,2006-06-21,DC Entertainment
Superman Returns,2006-06-21,Peters Entertainment
Superman Returns,2006-06-21,Bad Hat Harry Productions
Superman Returns,2006-06-21,Outback Pictures Inc.
No Country for Old Men,2007-05-19,Paramount Vantage
No Country for Old Men,2007-05-19,Scott Rudin Productions
No Country for Old Men,2007-05-19,Mike Zoss Productions
Atonement,2007-08-29,Relativity Media
Atonement,2007-08-29,StudioCanal
Atonement,2007-08-29,Working Title Films
Juno,2007-09-01,Mandate Pictures
Juno,2007-09-01,Mr. Mudd
Michael Clayton,2007-08-31,Samuels Media
Michael Clayton,2007-08-31,Castle Rock Entertainment
Michael Clayton,2007-08-31,Mirage Enterprises
Michael Clayton,2007-08-31,Section Eight Productions
There Will Be Blood,2007-09-27,Ghoulardi Film Company Scott Rudin Productions
The Diving Bell and the Butterfly,2007-05-22,Pathé Renn Production Canal+ The Kennedy/Marshall Company France 3 Cinéma
Sweeney Todd:The Demon Barber of Fleet Street,2007-12-03,DreamWorks Pictures
Sweeney Todd:The Demon Barber of Fleet Street,2007-12-03,Warner Bros. Pictures
Sweeney Todd:The Demon Barber of Fleet Street,2007-12-03,Parkes / MacDonald Productions
Sweeney Todd:The Demon Barber of Fleet Street,2007-12-03,The Zanuck Company
Sweeney Todd:The Demon Barber of Fleet Street,2007-12-03,Image Nation
In the Valley of Elah,2007-09-01,NALA Films
In the Valley of Elah,2007-09-01,Samuels Media
In the Valley of Elah,2007-09-01,Blackfriars Bridge
Eastern Promises,2007-09-08,Focus Features
Eastern Promises,2007-09-08,BBC Films
Eastern Promises,2007-09-08,Astral Media
Eastern Promises,2007-09-08,Corus Entertainment
Eastern Promises,2007-09-08,Telefilm Canada
Eastern Promises,2007-09-08,Kudos Pictures
Eastern Promises,2007-09-08,Serendipity Point Films
Eastern Promises,2007-09-08,Scion Films
La Vie en Rose,2007-02-08,Légende Films
La Vie en Rose,2007-02-08,TF1 International
La Vie en Rose,2007-02-08,TF1 Films Production
La Vie en Rose,2007-02-08,Songbird Pictures
La Vie en Rose,2007-02-08,Okko Productions
La Vie en Rose,2007-02-08,Scotts Atlantic
La Vie en Rose,2007-02-08,Sofica Valor 7
La Vie en Rose,2007-02-08,Canal+
La Vie en Rose,2007-02-08,TPS Star
La Vie en Rose,2007-02-08,Nydrle
Elizabeth: The Golden Age,2007-10-12,StudioCanal
Elizabeth: The Golden Age,2007-10-12,Working Title Films
Away from Her,2006-09-11,Capri Releasing Echo Lake Productions Foundry Films Hanway Films The Film Farm
The Savages,2007-01-19,This is that
The Savages,2007-01-19,Ad Hominem Enterprises
The Savages,2007-01-19,Lone Star Film Group
The Savages,2007-01-19,Cooper's Town Productions
The Assassination of Jesse James by the Coward Robert Ford,2007-09-02,Virtual Studios
The Assassination of Jesse James by the Coward Robert Ford,2007-09-02,Scott Free Productions
The Assassination of Jesse James by the Coward Robert Ford,2007-09-02,Plan B Entertainment
Charlie Wilson's War,2007-12-21,Relativity Media Participant Productions Playtone
Into the Wild,2007-09-21,Paramount Vantage
Into the Wild,2007-09-21,River Road Entertainment
Into the Wild,2007-09-21,Square One C.I.H.
Into the Wild,2007-09-21,Linson Film
I'm Not There,2007-09-03,Endgame Entertainment
I'm Not There,2007-09-03,Killer Films
I'm Not There,2007-09-03,John Wells Productions
I'm Not There,2007-09-03,John Goldwyn Productions
I'm Not There,2007-09-03,VIP Medienfonds 4
I'm Not There,2007-09-03,Rising Star
I'm Not There,2007-09-03,Grey Water Park Productions
American Gangster,2007-10-19,Imagine Entertainment
American Gangster,2007-10-19,Scott Free Productions
American Gangster,2007-10-19,Relativity Media
Gone Baby Gone,2007-10-19,Miramax Films The Ladd Company
Lars and the Real Girl,2007-09-09,Metro-Goldwyn-Mayer Pictures Sidney Kimmel Entertainment
Ratatouille,2007-06-22,Pixar Animation Studios
Persepolis,2007-05-23,2.4.7. Films
Persepolis,2007-05-23,France 3 Cinéma
Persepolis,2007-05-23,The Kennedy/Marshall Company
Persepolis,2007-05-23,Franche Connection Animations
Persepolis,2007-05-23,Diaphana Distribution
Surf's Up,2007-06-08,Sony Pictures Animation
Surf's Up,2007-06-08,Sony Pictures Imageworks
The Counterfeiters,2007-03-22,Aichholzer Film Magnolia Filmproduktion Babelsberg Studio
Katyń,2007-09-17,Akson Studio
Mongol,2007-08-10,Kinokompaniya CTB
Mongol,2007-08-10,Andreevski Flag
Mongol,2007-08-10,X Filme Creative Pool
Mongol,2007-08-10,Kinofabrika
Mongol,2007-08-10,Eurasia Film
Sicko,2007-05-19,Dog Eat Dog Films
La corona,1999-09-19,Runaway Films
Salim Baba,1999-09-19,Ropa Vieja Films and Paradox Smoke Productions
Sari's Mother,2006-09-08,Daylight Factory
At Night,2007-02-19,Zentropa Entertainments
Peter & the Wolf,2006-09-23,BreakThru Films
Peter & the Wolf,2006-09-23,Se-ma-for
3:10 to Yuma,2007-08-21,Relativity Media Tree Line Film
The Kite Runner,2007-12-14,Sidney Kimmel Entertainment Participant Productions Parkes+MacDonald Neal Street Productions
Once,2007-01-20,Summit Entertainment
Once,2007-01-20,Samson Films
Once,2007-01-20,Bórd Scannán na hÉireann/Irish Film Board
Once,2007-01-20,RTÉ
Enchanted,2007-10-20,Walt Disney Pictures
Enchanted,2007-10-20,Josephson Entertainment
Enchanted,2007-10-20,Right Coast Productions
August Rush,2007-11-21,Southpaw Entertainment CJ Entertainment
The Bourne Ultimatum,2007-07-25,Universal Pictures
The Bourne Ultimatum,2007-07-25,Kennedy/Marshall
The Bourne Ultimatum,2007-07-25,Ludlum Entertainment
Transformers,2007-06-10,Paramount Pictures
Transformers,2007-06-10,DreamWorks Pictures
Transformers,2007-06-10,Hasbro
Transformers,2007-06-10,di Bonaventura Pictures
The Golden Compass,2007-11-27,New Line Cinema
The Golden Compass,2007-11-27,Ingenious Film Partners
The Golden Compass,2007-11-27,Scholastic Productions
The Golden Compass,2007-11-27,Depth of Field
Norbit,2007-02-09,DreamWorks Pictures
Norbit,2007-02-09,Davis Entertainment
Norbit,2007-02-09,Tollin/Robbins Productions
Norbit,2007-02-09,Murphy Films
Pirates of the Caribbean:At World's End,2007-05-19,Walt Disney Pictures
Pirates of the Caribbean:At World's End,2007-05-19,Jerry Bruckheimer Films
Across the Universe,2007-09-14,Columbia Pictures
Across the Universe,2007-09-14,Revolution Studios
Across the Universe,2007-09-14,Gross Entertainment
Across the Universe,2007-09-14,Team Todd
Slumdog Millionaire,2008-08-30,Celador Films
Slumdog Millionaire,2008-08-30,Film4
The Curious Case of Benjamin Button,2008-12-25,Paramount Pictures
The Curious Case of Benjamin Button,2008-12-25,Warner Bros. Pictures
The Curious Case of Benjamin Button,2008-12-25,The Kennedy/Marshall Company
Frost/Nixon,2008-10-15,Imagine Entertainment
Frost/Nixon,2008-10-15,Working Title Films
Frost/Nixon,2008-10-15,StudioCanal
Milk,2008-10-28,Groundswell Productions
Milk,2008-10-28,Axon Films
Milk,2008-10-28,Jinks/Cohen Company
The Reader,2008-12-12,Mirage Enterprises
The Reader,2008-12-12,Neunte Babelsberg Film GmbH
The Visitor,2007-09-07,Groundswell Productions Participant Productions Next Wednesday Productions
The Wrestler,2008-09-05,Wild Bunch
The Wrestler,2008-09-05,Protozoa Pictures
Changeling,2008-05-20,Imagine Entertainment
Changeling,2008-05-20,Malpaso Productions
Changeling,2008-05-20,Relativity Media
Frozen River,2008-01-18,Cohen Media Group Harwood Hunt Productions Off Hollywood Pictures
Doubt,2008-10-30,Miramax Films Scott Rudin Productions
The Dark Knight,2008-07-14,Warner Bros. Pictures
The Dark Knight,2008-07-14,Legendary Pictures
The Dark Knight,2008-07-14,Syncopy
Tropic Thunder,2008-08-13,DreamWorks Pictures
Tropic Thunder,2008-08-13,Red Hour Productions
Revolutionary Road,2008-12-26,DreamWorks Pictures
Revolutionary Road,2008-12-26,Paramount Vantage
Revolutionary Road,2008-12-26,BBC Films
Revolutionary Road,2008-12-26,Neal Street Productions
Revolutionary Road,2008-12-26,Evamere Entertainment
Vicky Cristina Barcelona,2008-05-17,Mediapro
Vicky Cristina Barcelona,2008-05-17,Wild Bunch
Happy-Go-Lucky,2008-02-12,Summit Entertainment
Happy-Go-Lucky,2008-02-12,Ingenious Film Partners
Happy-Go-Lucky,2008-02-12,Film4
Happy-Go-Lucky,2008-02-12,UK Film Council
Happy-Go-Lucky,2008-02-12,Thin Man Films
In Bruges,2008-01-17,Focus Features
In Bruges,2008-01-17,Blueprint Pictures
In Bruges,2008-01-17,Film4
In Bruges,2008-01-17,Scion Films
WALL-E,2008-06-23,Pixar Animation Studios
Bolt,2008-11-17,Walt Disney Animation Studios
Kung Fu Panda,2008-05-15,DreamWorks Animation
Departures,2008-08-23,Tokyo Broadcasting System Amuse Soft Entertainment Asahi Shimbun Dentsu Mainichi Broadcasting Syste
The Baader Meinhof Complex,2008-09-25,Constantin Film Produktion
Revanche,2008-02-10,Prisma Films Spielmann Film
Waltz with Bashir,2008-05-13,Bridgit Folman Film Gang
Waltz with Bashir,2008-05-13,Les Films d'Ici
Waltz with Bashir,2008-05-13,Razor Film Produktion
Man on Wire,2008-01-22,UK Film Council
Man on Wire,2008-01-22,BBC Storyville
Man on Wire,2008-01-22,Discovery Films
Man on Wire,2008-01-22,Red Box Films
Man on Wire,2008-01-22,Wall to Wall
Encounters at the End of the World,2007-09-01,Discovery Films ThinkFilm Image Entertainment
The Garden,2008-06-18,Black Valley Films
Smile Pinki,1999-09-19,Principe Productions
The Conscience of Nhem En,1999-09-19,Farallon Films
The Final Inch,2009-04-01,Vermilion Films
The Witness: From the Balcony of Room 306,1999-09-19,Rock Paper Scissors
Toyland,1999-09-19,Mephistofilm
La Maison en Petits Cubes,1999-09-19,Oh! Production
Oktapodi,1999-09-19,Gobelins L'Ecole de L'Image
Presto,2008-06-10,Pixar Animation Studios
Defiance,2008-12-31,Paramount Vantage
Defiance,2008-12-31,Bedford Falls Productions
Defiance,2008-12-31,Grosvenor Park Productions
Iron Man,2008-04-14,Marvel Studios
Wanted,2008-06-12,Relativity Media
Wanted,2008-06-12,Spyglass Entertainment
Wanted,2008-06-12,Marc Platt Productions
Wanted,2008-06-12,Kickstart Productions
Wanted,2008-06-12,Top Cow Productions
The Duchess,2008-09-05,BBC Films Qwerty Films Magnolia Mae Films
Hellboy II: The Golden Army,2008-07-11,Universal Pictures
Hellboy II: The Golden Army,2008-07-11,Relativity Media
Hellboy II: The Golden Army,2008-07-11,Lawrence Gordon/Lloyd Levin Productions
Hellboy II: The Golden Army,2008-07-11,Dark Horse Entertainment
Australia,2008-11-18,20th Century Fox
Australia,2008-11-18,Bazmark Films
Australia,2008-11-18,Dune Entertainment III
Australia,2008-11-18,Ingenious Media
Australia,2008-11-18,ScreenWest
The Hurt Locker,2008-09-04,Voltage Pictures
The Hurt Locker,2008-09-04,First Light
The Hurt Locker,2008-09-04,Kingsgate Films
Avatar,2009-12-10,20th Century Fox
Avatar,2009-12-10,Dune Entertainment
Avatar,2009-12-10,Ingenious Film Partners
Avatar,2009-12-10,Lightstorm Entertainment
The Blind Side,2009-11-20,Alcon Entertainment
District 9,2009-07-23,TriStar Pictures
District 9,2009-07-23,QED International
District 9,2009-07-23,WingNut Films
An Education,2009-01-18,Endgame Entertainment
An Education,2009-01-18,BBC Films
An Education,2009-01-18,Wildgaze Films
An Education,2009-01-18,Finola Dwyer Productions
An Education,2009-01-18,Mittal Productions
Inglourious Basterds,2009-05-20,The Weinstein Company
Inglourious Basterds,2009-05-20,Universal Pictures
Inglourious Basterds,2009-05-20,A Band Apart
Inglourious Basterds,2009-05-20,Zehnte Babelsberg Film GmbH
"Precious: Based on the Novel ""Push"" by Sapphire",2009-01-15,Lee Daniels Entertainment Smokewood Entertainment
A Serious Man,2009-10-02,StudioCanal
A Serious Man,2009-10-02,Relativity Media
A Serious Man,2009-10-02,Working Title
A Serious Man,2009-10-02,Mike Zoss Productions
Up,2009-05-13,Pixar Animation Studios
Up in the Air,2009-09-05,The Montecito Picture Company
Up in the Air,2009-09-05,Cold Spring Pictures
Up in the Air,2009-09-05,DW Studios
Up in the Air,2009-09-05,Rickshaw Productions
Up in the Air,2009-09-05,Right of Way Films
Crazy Heart,2009-12-06,Informant Media
Crazy Heart,2009-12-06,Butcher's Run Films
Crazy Heart,2009-12-06,Dune Entertainment
A Single Man,2009-09-11,Artina Films
A Single Man,2009-09-11,Depth of Field
A Single Man,2009-09-11,Fade to Black
Invictus,2009-12-11,Revelations Entertainment
Invictus,2009-12-11,Mace Neufeld Productions
Invictus,2009-12-11,Malpaso Productions
Invictus,2009-12-11,Liberty Pictures
The Last Station,2009-12-23,Egoli Tossell Film
The Last Station,2009-12-23,Zephyr Films
The Last Station,2009-12-23,The Andrei Konchalovsky Production Center
The Last Station,2009-12-23,SamFilm
Julie & Julia,2009-08-07,Columbia Pictures
Julie & Julia,2009-08-07,Easy There Tiger Productions
Julie & Julia,2009-08-07,Laurence Mark Productions
The Lovely Bones,2009-11-24,DreamWorks Pictures
The Lovely Bones,2009-11-24,Film4
The Lovely Bones,2009-11-24,WingNut Films
Nine,2009-12-09,Relativity Media
Nine,2009-12-09,Lucamar Productions
In the Loop,2009-01-22,BBC Films UK Film Council Aramid Entertainment
Coraline,2009-02-05,Laika
Coraline,2009-02-05,Pandemonium Films
Fantastic Mr. Fox,2009-10-14,20th Century Fox
Fantastic Mr. Fox,2009-10-14,Indian Paintbrush
Fantastic Mr. Fox,2009-10-14,Regency Enterprises
Fantastic Mr. Fox,2009-10-14,American Empirical Pictures
The Princess and the Frog,2009-11-25,Walt Disney Animation Studios
The Secret of Kells,2009-01-30,Les Armateurs
The Secret of Kells,2009-01-30,Vivi Film
The Secret of Kells,2009-01-30,Cartoon Saloon
The Secret of Kells,2009-01-30,France 2 Cinéma
The Secret in Their Eyes,2009-08-13,Haddock Films
The Secret in Their Eyes,2009-08-13,100 Bares
The Secret in Their Eyes,2009-08-13,Tornasol Films
The White Ribbon,2009-05-21,Wega Film
The White Ribbon,2009-05-21,X Filme Creative Pool
The Cove,2009-07-31,Participant Media Oceanic Preservation Society Diamond Docs Skyfish Films
"Food, Inc.",2008-09-07,Participant Media
"Food, Inc.",2008-09-07,River Road Entertainment
Which Way Home,2009-01-31,Mr. Mudd
Music by Prudence,1999-09-19,iThemba Productions
The New Tenants,2009-12-30,M&M Productions Park Pictures
Miracle Fish,2009-01-16,Druid Films Blue-Tongue Films Qoob
Logorama,2009-05-20,H5 Autour de Minuit Productions Little Minx Films Mikros Image
Granny O'Grimm's Sleeping Beauty,1999-09-19,Brown Bag Films
The Lady and the Reaper,1999-09-19,Kandor Graphics
The Lady and the Reaper,1999-09-19,Green Moon
Sherlock Holmes,2009-12-25,Silver Pictures
Sherlock Holmes,2009-12-25,Wigram Productions
Sherlock Holmes,2009-12-25,Village Roadshow Pictures
Paris 36,2008-09-06,France 3 Cinéma Constantin Film Canal+ TPS Star
Star Trek,2009-04-07,Paramount Pictures
Star Trek,2009-04-07,Spyglass Entertainment
Star Trek,2009-04-07,Bad Robot
Transformers: Revenge of the Fallen,2009-06-08,Paramount Pictures
Transformers: Revenge of the Fallen,2009-06-08,Di Bonaventura Pictures
Transformers: Revenge of the Fallen,2009-06-08,DreamWorks Pictures
Transformers: Revenge of the Fallen,2009-06-08,Hasbro
The Imaginarium of Doctor Parnassus,2009-05-22,Infinity Features
The Imaginarium of Doctor Parnassus,2009-05-22,Poo Poo Pictures
The Imaginarium of Doctor Parnassus,2009-05-22,Davis Films
The Imaginarium of Doctor Parnassus,2009-05-22,Telefilm Canada
The Young Victoria,2009-03-06,GK Films
Harry Potterand the Half-Blood Prince,2009-07-07,Warner Bros. Pictures
Harry Potterand the Half-Blood Prince,2009-07-07,Heyday Films
Bright Star,2009-05-15,BBC Films Screen Australia UK Film Council New South Wales Film and Television Office Hopscotch Int
Coco Before Chanel,2009-04-06,Haut et Court
Coco Before Chanel,2009-04-06,Ciné@
Coco Before Chanel,2009-04-06,France 2 Cinéma
The King's Speech,2010-09-06,UK Film Council
The King's Speech,2010-09-06,Momentum Pictures
The King's Speech,2010-09-06,Aegis Film Fund
The King's Speech,2010-09-06,"Molinare, London"
The King's Speech,2010-09-06,FilmNation Entertainment
The King's Speech,2010-09-06,See-Saw Films
The King's Speech,2010-09-06,Bedlam Productions
Black Swan,2010-09-01,Cross Creek Pictures
Black Swan,2010-09-01,Protozoa Pictures
Black Swan,2010-09-01,Phoenix Pictures
Black Swan,2010-09-01,Dune Entertainment
The Fighter,2010-12-06,Relativity Media
The Fighter,2010-12-06,Mandeville Films
The Fighter,2010-12-06,The Weinstein Company
The Fighter,2010-12-06,Closest to the Hole Productions
Inception,2010-07-08,Warner Bros. Pictures
Inception,2010-07-08,Legendary Pictures
Inception,2010-07-08,Syncopy
The Kids Are All Right,2010-01-25,Gilbert Films Mandalay Pictures Antidote Films
127 Hours,2010-09-04,Pathé
127 Hours,2010-09-04,Everest Entertainment
127 Hours,2010-09-04,Dune Entertainment
127 Hours,2010-09-04,Film4 Productions
127 Hours,2010-09-04,HandMade Films
127 Hours,2010-09-04,Cloud Eight Films
The Social Network,2010-09-24,Columbia Pictures
The Social Network,2010-09-24,Relativity Media
The Social Network,2010-09-24,Scott Rudin Productions
The Social Network,2010-09-24,Michael De Luca Productions
The Social Network,2010-09-24,Trigger Street Productions
Toy Story 3,2010-06-12,Pixar Animation Studios
True Grit,2010-12-22,Paramount Pictures
True Grit,2010-12-22,Skydance Productions
True Grit,2010-12-22,Mike Zoss Productions
True Grit,2010-12-22,DreamWorks Pictures
True Grit,2010-12-22,Scott Rudin Productions
Winter's Bone,2010-01-21,Anonymous Content Winter's Bone Productions
Biutiful,2010-05-17,Menage Atroz
Biutiful,2010-05-17,MOD Producciones
Biutiful,2010-05-17,Focus Features International
Biutiful,2010-05-17,Televisión Española
Biutiful,2010-05-17,Televisió de Catalunya
Biutiful,2010-05-17,ICAA Ministerio de Cultura
Biutiful,2010-05-17,Ikiru Films
Biutiful,2010-05-17,Cha Cha Cha Films (uncredited)
Rabbit Hole,2010-09-13,Olympus Pictures
Rabbit Hole,2010-09-13,Blossom Films
Rabbit Hole,2010-09-13,OddLot Entertainment
Blue Valentine,2010-01-24,Hunting Lane Films
Blue Valentine,2010-01-24,Silverwood Films
The Town,2010-09-08,Legendary Pictures
The Town,2010-09-08,GK Films
The Town,2010-09-08,Thunder Road Film
Animal Kingdom,2010-01-22,Screen Australia Porchlight Films Film Victoria Screen NSW Fulcrum Media Finance Showtime Australia
Another Year,2010-05-15,Film4
Another Year,2010-05-15,UK Film Council
Another Year,2010-05-15,Thin Man Films
How to Train Your Dragon,2010-03-21,DreamWorks Animation
The Illusionist,2010-06-16,Pathé Django Films Allied Filmmakers
In a Better World,2010-08-26,Zentropa
Dogtooth,2009-05-18,Boo Productions
Incendies,2010-09-03,micro_scope
Outside the Law,2010-05-21,Tessalit Productions
Exit Through the Gift Shop,2010-01-24,Paranoid Pictures
Gasland,2010-01-24,International WOW Company
Waste Land,2010-01-24,Almega Projects O2 Filmes Intelligent Media
Strangers No More,1999-09-19,Simon & Goodman Picture Company
Killing in the Name,2010-07-30,Moxie Firecracker Films
Poster Girl,2010-09-03,Portrayal Films
The Warriors of Qiugang,2010-09-17,Thomas Lennon Films
The Confession,2010-06-12,National Film and Television School
Na Wewe,2010-04-25,Cut ! A Private View Radio Télévision Belge Francophone
Wish 143,2009-11-19,Swing and Shift Films Union Pictures
Day & Night,2010-06-18,Pixar Animation Studios
Country Strong,2010-11-08,Maguire Pictures
Tangled,2010-11-14,Walt Disney Animation Studios
Tangled,2010-11-14,Walt Disney Pictures
Tron: Legacy,2010-11-30,Walt Disney Pictures
Tron: Legacy,2010-11-30,Sean Bailey Productions
Unstoppable,2010-10-26,Dune Entertainment
Unstoppable,2010-10-26,Scott Free Productions
Unstoppable,2010-10-26,Prospect Park
Unstoppable,2010-10-26,Millbrook Farm Productions
Salt,2010-07-19,Columbia Pictures
Salt,2010-07-19,Di Bonaventura Pictures
Salt,2010-07-19,Relativity Media
Alice in Wonderland,2010-02-25,Walt Disney Pictures
Alice in Wonderland,2010-02-25,Roth Films
Alice in Wonderland,2010-02-25,The Zanuck Company
Alice in Wonderland,2010-02-25,Team Todd
Harry Potterand the Deathly Hallows – Part 1,2010-11-11,Warner Bros. Pictures
Harry Potterand the Deathly Hallows – Part 1,2010-11-11,Heyday Films
The Wolfman,2010-01-27,Universal Pictures
The Wolfman,2010-01-27,Relativity Media
The Wolfman,2010-01-27,Stuber Pictures
The Way Back,2010-09-03,National Geographic Films Spitfire Pictures Imagenation Abu Dhabi Film Fund Luxembourg Wrekin Hill 
I Am Love,2009-09-05,First Sun
The Tempest,2010-09-11,Touchstone Pictures Miramax Films Chartoff/Hendee Productions TalkStory Productions Artemis Films M
Hereafter,2010-09-12,The Kennedy/Marshall Company Malpaso Productions Amblin Entertainment
Iron Man 2,2010-04-26,Marvel Studios
The Artist,2011-05-15,La Petite Reine
The Artist,2011-05-15,Studio 37
The Artist,2011-05-15,La Classe Américaine
The Artist,2011-05-15,JD Prod
The Artist,2011-05-15,France 3 Cinéma
The Artist,2011-05-15,Jouror Productions
The Artist,2011-05-15,uFilm
The Descendants,2011-09-10,Ad Hominem Enterprises
Extremely Loud & Incredibly Close,2011-12-25,Scott Rudin Productions
The Help,2011-07-30,DreamWorks Pictures Reliance Entertainment Participant Media Image Nation 1492 Pictures Harbinger P
Hugo,2011-10-10,Infinitum Nihil
Hugo,2011-10-10,GK Films
Midnight in Paris,2011-05-11,Gravier Productions
Midnight in Paris,2011-05-11,Mediapro
Midnight in Paris,2011-05-11,Televisió de Catalunya (TV3)
Midnight in Paris,2011-05-11,Versátil Cinema
Moneyball,2011-09-09,Columbia Pictures
Moneyball,2011-09-09,Scott Rudin Productions
Moneyball,2011-09-09,Michael De Luca Productions
Moneyball,2011-09-09,Rachael Horovitz Productions
Moneyball,2011-09-09,Plan B Entertainment
The Tree of Life,2011-05-16,River Road Entertainment
The Tree of Life,2011-05-16,Plan B Entertainment
War Horse,2011-12-05,DreamWorks Pictures
War Horse,2011-12-05,Reliance Entertainment
War Horse,2011-12-05,Amblin Entertainment
War Horse,2011-12-05,The Kennedy/Marshall Company
A Better Life,2011-06-24,Lime Orchard Productions
A Better Life,2011-06-24,Witt/Thomas Productions
Tinker Tailor Soldier Spy,2011-09-05,StudioCanal
Tinker Tailor Soldier Spy,2011-09-05,Karla Films
Tinker Tailor Soldier Spy,2011-09-05,Paradis Films
Tinker Tailor Soldier Spy,2011-09-05,Kinowelt Filmproduktion
Tinker Tailor Soldier Spy,2011-09-05,Working Title Films
The Iron Lady,2011-12-26,Pathé
The Iron Lady,2011-12-26,Film4
The Iron Lady,2011-12-26,UK Film Council
The Iron Lady,2011-12-26,Canal+
The Iron Lady,2011-12-26,Ciné+
The Iron Lady,2011-12-26,DJ Films
Albert Nobbs,2011-09-02,Mockingbird Pictures Trillium Productions Parallel Film Productions Morrison Films WestEnd Films Ch
The Girl with the Dragon Tattoo,2011-12-12,Columbia Pictures
The Girl with the Dragon Tattoo,2011-12-12,Metro-Goldwyn-Mayer Pictures
The Girl with the Dragon Tattoo,2011-12-12,Scott Rudin Productions
The Girl with the Dragon Tattoo,2011-12-12,Yellow Bird
My Week with Marilyn,2011-10-09,The Weinstein Company
My Week with Marilyn,2011-10-09,BBC Films
My Week with Marilyn,2011-10-09,Trademark Films
My Week with Marilyn,2011-10-09,LipSync Productions
Beginners,2010-09-11,Olympus Pictures
Beginners,2010-09-11,Parts & Labor
Beginners,2010-09-11,Northwood Productions
Warrior,2011-09-09,Mimran Schur Pictures
Warrior,2011-09-09,Solaris Entertainment
Warrior,2011-09-09,Filmtribe
Bridesmaids,2011-04-28,Apatow Productions
Bridesmaids,2011-04-28,Relativity Media
Margin Call,2011-01-25,Myriad Pictures
Margin Call,2011-01-25,Benaroya Pictures
Margin Call,2011-01-25,Before the Door Pictures
Margin Call,2011-01-25,Washington Square Films
Margin Call,2011-01-25,Untitled Entertainment
Margin Call,2011-01-25,Sakonnet Capital Partners
