title,releaseDate,productionCompany
Dangerous Liaisons,1988-12-21,NFH Limited
Coming to America,1988-06-29,Eddie Murphy Productions
A Handful of Dust,1988-06-14,London Weekend Television Stagescreen Productions
Sunset,1988-04-29,ML Delphi Premier Productions
Tucker: The Man and His Dream,1988-08-12,Lucasfilm Ltd. Zoetrope Studios
Rain Man,1988-12-16,United Artists
Rain Man,1988-12-16,Guber-Peters Company
Rain Man,1988-12-16,"Star Partners II, Ltd."
Tequila Sunrise,1988-12-02,The Mount Company
The Unbearable Lightness of Being,1988-02-05,The Saul Zaentz Company
Who Framed Roger Rabbit,1988-06-21,Touchstone Pictures
Who Framed Roger Rabbit,1988-06-21,Amblin Entertainment
Who Framed Roger Rabbit,1988-06-21,Silver Screen Partners III
Who Framed Roger Rabbit,1988-06-21,Touchstone Pictures
Who Framed Roger Rabbit,1988-06-21,Amblin Entertainment
Who Framed Roger Rabbit,1988-06-21,Silver Screen Partners III
Die Hard,1988-07-12,20th Century Fox
Die Hard,1988-07-12,Gordon Company
Die Hard,1988-07-12,Silver Pictures
Gorillas in the Mist,1988-09-23,The Guber-Peters Company
Rain Man,1988-12-16,United Artists
Rain Man,1988-12-16,Guber-Peters Company
Rain Man,1988-12-16,"Star Partners II, Ltd."
Who Framed Roger Rabbit,1988-06-21,Touchstone Pictures
Who Framed Roger Rabbit,1988-06-21,Amblin Entertainment
Who Framed Roger Rabbit,1988-06-21,Silver Screen Partners III
Die Hard,1988-07-12,20th Century Fox
Die Hard,1988-07-12,Gordon Company
Die Hard,1988-07-12,Silver Pictures
Willow,1988-05-20,Metro-Goldwyn-Mayer
Willow,1988-05-20,Lucasfilm Ltd.
Willow,1988-05-20,Imagine Entertainment
Driving Miss Daisy,1989-12-15,The Zanuck Company
Born on the Fourth of July,1989-12-20,Ixtlan Productions
Dead Poets Society,1989-06-02,Touchstone Pictures
Dead Poets Society,1989-06-02,Silver Screen Partners IV
Field of Dreams,1989-05-05,Gordon Company
My Left Foot,1989-02-24,Ferndale Films
My Left Foot,1989-02-24,Granada Film
My Left Foot,1989-02-24,Raidió Teilifís Éireann
Born on the Fourth of July,1989-12-20,Ixtlan Productions
Crimes and Misdemeanors,1989-10-13,Jack Rollins & Charles H. Joffe Productions
Dead Poets Society,1989-06-02,Touchstone Pictures
Dead Poets Society,1989-06-02,Silver Screen Partners IV
Henry V,1989-10-06,British Broadcasting Corporation Renaissance Films
My Left Foot,1989-02-24,Ferndale Films
My Left Foot,1989-02-24,Granada Film
My Left Foot,1989-02-24,Raidió Teilifís Éireann
My Left Foot,1989-02-24,Ferndale Films
My Left Foot,1989-02-24,Granada Film
My Left Foot,1989-02-24,Raidió Teilifís Éireann
Henry V,1989-10-06,British Broadcasting Corporation Renaissance Films
Born on the Fourth of July,1989-12-20,Ixtlan Productions
Driving Miss Daisy,1989-12-15,The Zanuck Company
Dead Poets Society,1989-06-02,Touchstone Pictures
Dead Poets Society,1989-06-02,Silver Screen Partners IV
Driving Miss Daisy,1989-12-15,The Zanuck Company
Camille Claudel,1988-12-07,Films Christian Fechner
Camille Claudel,1988-12-07,Lilith Films I.A.
Camille Claudel,1988-12-07,Gaumont
Camille Claudel,1988-12-07,Antenne 2 TV France
Camille Claudel,1988-12-07,Films A2
Camille Claudel,1988-12-07,D.D. Productions
Music Box,1989-12-22,Carolco Pictures
The Fabulous Baker Boys,1989-10-13,Gladden Entertainment
The Fabulous Baker Boys,1989-10-13,Mirage Enterprises
Glory,1989-12-15,Freddie Fields Productions
Do the Right Thing,1989-05-19,40 Acres and a Mule Filmworks
Driving Miss Daisy,1989-12-15,The Zanuck Company
A Dry White Season,1989-09-22,Davros Films Sundance Productions
Crimes and Misdemeanors,1989-10-13,Jack Rollins & Charles H. Joffe Productions
My Left Foot,1989-02-24,Ferndale Films
My Left Foot,1989-02-24,Granada Film
My Left Foot,1989-02-24,Raidió Teilifís Éireann
"Enemies, A Love Story",1989-12-13,Morgan Creek Productions
Steel Magnolias,1989-11-15,Rastar
Parenthood,1989-08-02,Imagine Entertainment
Dead Poets Society,1989-06-02,Touchstone Pictures
Dead Poets Society,1989-06-02,Silver Screen Partners IV
Crimes and Misdemeanors,1989-10-13,Jack Rollins & Charles H. Joffe Productions
Do the Right Thing,1989-05-19,40 Acres and a Mule Filmworks
"Sex, Lies, and Videotape",1989-01-20,Outlaw Productions
When Harry Met Sally...,1989-07-21,Castle Rock Entertainment
When Harry Met Sally...,1989-07-21,Nelson Entertainment
Driving Miss Daisy,1989-12-15,The Zanuck Company
Born on the Fourth of July,1989-12-20,Ixtlan Productions
"Enemies, A Love Story",1989-12-13,Morgan Creek Productions
Field of Dreams,1989-05-05,Gordon Company
My Left Foot,1989-02-24,Ferndale Films
My Left Foot,1989-02-24,Granada Film
My Left Foot,1989-02-24,Raidió Teilifís Éireann
Cinema Paradiso,1988-11-17,Les Films Ariane RAI TF1 Cristaldi Film Forum Picture
Camille Claudel,1988-12-07,Films Christian Fechner
Camille Claudel,1988-12-07,Lilith Films I.A.
Camille Claudel,1988-12-07,Gaumont
Camille Claudel,1988-12-07,Antenne 2 TV France
Camille Claudel,1988-12-07,Films A2
Camille Claudel,1988-12-07,D.D. Productions
Lo que le pasó a Santiago,1989-11,Taleski Studios Inc. Dios los Cria Inc. Bacalao Inc.
Common Threads: Stories from the Quilt,1989,Telling Pictures
The Johnstown Flood,1989,Guggenheim Productions
Work Experience,1989,North Inch Production
The Little Mermaid,1989-11-17,Walt Disney Feature Animation
Born on the Fourth of July,1989-12-20,Ixtlan Productions
The Fabulous Baker Boys,1989-10-13,Gladden Entertainment
The Fabulous Baker Boys,1989-10-13,Mirage Enterprises
Field of Dreams,1989-05-05,Gordon Company
Indiana Jones and the Last Crusade,1989-05-24,Lucasfilm Ltd.
The Little Mermaid,1989-11-17,Walt Disney Feature Animation
Parenthood,1989-08-02,Imagine Entertainment
The Little Mermaid,1989-11-17,Walt Disney Feature Animation
Indiana Jones and the Last Crusade,1989-05-24,Lucasfilm Ltd.
Black Rain,1989-09-22,Jaffe-Lansing Productions
Black Rain,1989-09-22,Pegasus Film Partners
Lethal Weapon 2,1989-07-07,Silver Pictures
Glory,1989-12-15,Freddie Fields Productions
The Abyss,1989-08-09,20th Century Fox
Black Rain,1989-09-22,Jaffe-Lansing Productions
Black Rain,1989-09-22,Pegasus Film Partners
Born on the Fourth of July,1989-12-20,Ixtlan Productions
Indiana Jones and the Last Crusade,1989-05-24,Lucasfilm Ltd.
Batman,1989-06-19,Warner Bros.
Batman,1989-06-19,Guber-Peters Company
Batman,1989-06-19,PolyGram Pictures
The Abyss,1989-08-09,20th Century Fox
The Adventures of Baron Munchausen,1988-12-08,Allied Filmmakers
The Adventures of Baron Munchausen,1988-12-08,Laura Film
The Adventures of Baron Munchausen,1988-12-08,Prominent Features
Driving Miss Daisy,1989-12-15,The Zanuck Company
Glory,1989-12-15,Freddie Fields Productions
Glory,1989-12-15,Freddie Fields Productions
The Abyss,1989-08-09,20th Century Fox
Blaze,1989-12-13,Touchstone Pictures
Blaze,1989-12-13,Silver Screen Partners IV
Blaze,1989-12-13,A&M Films
Born on the Fourth of July,1989-12-20,Ixtlan Productions
The Fabulous Baker Boys,1989-10-13,Gladden Entertainment
The Fabulous Baker Boys,1989-10-13,Mirage Enterprises
Driving Miss Daisy,1989-12-15,The Zanuck Company
The Adventures of Baron Munchausen,1988-12-08,Allied Filmmakers
The Adventures of Baron Munchausen,1988-12-08,Laura Film
The Adventures of Baron Munchausen,1988-12-08,Prominent Features
Dad,1989-10-27,Amblin Entertainment Ubu Productions
Henry V,1989-10-06,British Broadcasting Corporation Renaissance Films
The Adventures of Baron Munchausen,1988-12-08,Allied Filmmakers
The Adventures of Baron Munchausen,1988-12-08,Laura Film
The Adventures of Baron Munchausen,1988-12-08,Prominent Features
Driving Miss Daisy,1989-12-15,The Zanuck Company
Harlem Nights,1989-11-17,Eddie Murphy Productions
Valmont,1989-11-17,Renn Productions
Valmont,1989-11-17,Timothy Burrill Productions
Born on the Fourth of July,1989-12-20,Ixtlan Productions
The Bear,1988-10-19,Price Entertainment Renn Productions
Driving Miss Daisy,1989-12-15,The Zanuck Company
The Fabulous Baker Boys,1989-10-13,Gladden Entertainment
The Fabulous Baker Boys,1989-10-13,Mirage Enterprises
Glory,1989-12-15,Freddie Fields Productions
The Abyss,1989-08-09,20th Century Fox
The Adventures of Baron Munchausen,1988-12-08,Allied Filmmakers
The Adventures of Baron Munchausen,1988-12-08,Laura Film
The Adventures of Baron Munchausen,1988-12-08,Prominent Features
Back to the Future Part II,1989-11-22,Amblin Entertainment
Dances With Wolves,1990-10-19,Tig Productions
Dances With Wolves,1990-10-19,Majestic Films International
Awakenings,1990-12-22,Lasker/Parkes Productions
Ghost,1990-07-13,Paramount Pictures
Ghost,1990-07-13,Howard W. Koch Productions
The Godfather Part III,1990-12-20,Paramount Pictures
The Godfather Part III,1990-12-20,Zoetrope Studios
GoodFellas,1990-09-09,Warner Bros.
GoodFellas,1990-09-09,Irwin Winkler Productions
Dances With Wolves,1990-10-19,Tig Productions
Dances With Wolves,1990-10-19,Majestic Films International
The Godfather Part III,1990-12-20,Paramount Pictures
The Godfather Part III,1990-12-20,Zoetrope Studios
GoodFellas,1990-09-09,Warner Bros.
GoodFellas,1990-09-09,Irwin Winkler Productions
The Grifters,1990-12-07,Cineplex Odeon Films
Reversal of Fortune,1990-09-12,"Reversal Films, Inc."
Reversal of Fortune,1990-09-12,Sovereign Pictures
Reversal of Fortune,1990-09-12,Shochiku Fuji Co. Ltd.
Reversal of Fortune,1990-09-12,"Reversal Films, Inc."
Reversal of Fortune,1990-09-12,Sovereign Pictures
Reversal of Fortune,1990-09-12,Shochiku Fuji Co. Ltd.
Dances With Wolves,1990-10-19,Tig Productions
Dances With Wolves,1990-10-19,Majestic Films International
Awakenings,1990-12-22,Lasker/Parkes Productions
The Field,1990-09-21,Granada Television Noel Pearson Sovereign Pictures
Misery,1990-11-30,Castle Rock Entertainment
Misery,1990-11-30,Nelson Entertainment
The Grifters,1990-12-07,Cineplex Odeon Films
Pretty Woman,1990-03-23,Touchstone Pictures
Pretty Woman,1990-03-23,Silver Screen Partners IV
Pretty Woman,1990-03-23,Regency International Pictures (uncredited)
Postcards from the Edge,1990-09-14,Columbia Pictures
Mr. & Mrs. Bridge,1990-11-23,Cineplex Odeon Films
Mr. & Mrs. Bridge,1990-11-23,Merchant Ivory Productions
GoodFellas,1990-09-09,Warner Bros.
GoodFellas,1990-09-09,Irwin Winkler Productions
The Godfather Part III,1990-12-20,Paramount Pictures
The Godfather Part III,1990-12-20,Zoetrope Studios
Dances With Wolves,1990-10-19,Tig Productions
Dances With Wolves,1990-10-19,Majestic Films International
Dick Tracy,1990-06-14,Touchstone Pictures
Dick Tracy,1990-06-14,Silver Screen Partners IV
Dick Tracy,1990-06-14,Mulholland Productions
Ghost,1990-07-13,Paramount Pictures
Ghost,1990-07-13,Howard W. Koch Productions
The Grifters,1990-12-07,Cineplex Odeon Films
GoodFellas,1990-09-09,Warner Bros.
GoodFellas,1990-09-09,Irwin Winkler Productions
Wild at Heart,1990-05-19,PolyGram
Wild at Heart,1990-05-19,Propaganda Films
Dances With Wolves,1990-10-19,Tig Productions
Dances With Wolves,1990-10-19,Majestic Films International
Ghost,1990-07-13,Paramount Pictures
Ghost,1990-07-13,Howard W. Koch Productions
Avalon,1990-10-05,Baltimore Pictures
Green Card,1990-12-23,Touchstone Pictures Australian Film Finance Corporation Lam Ping
Metropolitan,1990-01-20,Westerly Films
Metropolitan,1990-01-20,Allagash Films
Dances With Wolves,1990-10-19,Tig Productions
Dances With Wolves,1990-10-19,Majestic Films International
Awakenings,1990-12-22,Lasker/Parkes Productions
GoodFellas,1990-09-09,Warner Bros.
GoodFellas,1990-09-09,Irwin Winkler Productions
The Grifters,1990-12-07,Cineplex Odeon Films
Reversal of Fortune,1990-09-12,"Reversal Films, Inc."
Reversal of Fortune,1990-09-12,Sovereign Pictures
Reversal of Fortune,1990-09-12,Shochiku Fuji Co. Ltd.
Journey of Hope,1990-8,Beyond Films Premium Films
Ju Dou,,China Film Co-Production Corporation
Ju Dou,,China Film Export and Import Corp.
Ju Dou,,Tokuma Shoten
Ju Dou,,Tokuma Communications
American Dream,1990-10-06,Cabin Creek Catholic Communication Campaign Channel Four Films
Days of Waiting,1991,Mouchette Films
Burning Down Tomorrow,1990,Interscope Communications
Chimps: So Like Us,1990,Simon & Goodman Picture Company
Journey into Life: The World of the Unborn,1990,ABC/Kane Productions and Genesis Films
Rose Kennedy: A Life to Remember,1990,American Film Foundation
The Lunch Date,1989-12,Columbia University School of the Arts
12:01 PM,1990,Chanticleer Films
Dear Rosie,1991-03-15,Channel 4 Television Corporation World's End Productions
A Grand Day Out,1989-11-04,National Film and Television School Aardman Animations
Dances With Wolves,1990-10-19,Tig Productions
Dances With Wolves,1990-10-19,Majestic Films International
Avalon,1990-10-05,Baltimore Pictures
Ghost,1990-07-13,Paramount Pictures
Ghost,1990-07-13,Howard W. Koch Productions
Havana,1990-12-12,Universal Pictures Mirage Enterprises Grimes Production
Home Alone,1990-11-10,20th Century Fox
Home Alone,1990-11-10,Hughes Entertainment
Dick Tracy,1990-06-14,Touchstone Pictures
Dick Tracy,1990-06-14,Silver Screen Partners IV
Dick Tracy,1990-06-14,Mulholland Productions
Young Guns II,1990-08-01,Morgan Creek Productions
Postcards from the Edge,1990-09-14,Columbia Pictures
The Godfather Part III,1990-12-20,Paramount Pictures
The Godfather Part III,1990-12-20,Zoetrope Studios
Home Alone,1990-11-10,20th Century Fox
Home Alone,1990-11-10,Hughes Entertainment
Dances With Wolves,1990-10-19,Tig Productions
Dances With Wolves,1990-10-19,Majestic Films International
Days of Thunder,1990-06-27,Don Simpson / Jerry Bruckheimer Films
Dick Tracy,1990-06-14,Touchstone Pictures
Dick Tracy,1990-06-14,Silver Screen Partners IV
Dick Tracy,1990-06-14,Mulholland Productions
The Hunt for Red October,1990-03-02,Mace Neufeld Productions
Total Recall,1990-06-01,Carolco Pictures
The Hunt for Red October,1990-03-02,Mace Neufeld Productions
Flatliners,1990-08-10,Stonebridge Entertainment
Total Recall,1990-06-01,Carolco Pictures
Dick Tracy,1990-06-14,Touchstone Pictures
Dick Tracy,1990-06-14,Silver Screen Partners IV
Dick Tracy,1990-06-14,Mulholland Productions
Dances With Wolves,1990-10-19,Tig Productions
Dances With Wolves,1990-10-19,Majestic Films International
The Godfather Part III,1990-12-20,Paramount Pictures
The Godfather Part III,1990-12-20,Zoetrope Studios
Hamlet,1990-12-19,Nelson Entertainment Icon Productions
Dick Tracy,1990-06-14,Touchstone Pictures
Dick Tracy,1990-06-14,Silver Screen Partners IV
Dick Tracy,1990-06-14,Mulholland Productions
Edward Scissorhands,1990-12-06,20th Century Fox
Avalon,1990-10-05,Baltimore Pictures
Dances With Wolves,1990-10-19,Tig Productions
Dances With Wolves,1990-10-19,Majestic Films International
Dick Tracy,1990-06-14,Touchstone Pictures
Dick Tracy,1990-06-14,Silver Screen Partners IV
Dick Tracy,1990-06-14,Mulholland Productions
Hamlet,1990-12-19,Nelson Entertainment Icon Productions
Dances With Wolves,1990-10-19,Tig Productions
Dances With Wolves,1990-10-19,Majestic Films International
Avalon,1990-10-05,Baltimore Pictures
Dick Tracy,1990-06-14,Touchstone Pictures
Dick Tracy,1990-06-14,Silver Screen Partners IV
Dick Tracy,1990-06-14,Mulholland Productions
The Godfather Part III,1990-12-20,Paramount Pictures
The Godfather Part III,1990-12-20,Zoetrope Studios
Henry & June,1990-09-14,Walrus & Associates
Dances With Wolves,1990-10-19,Tig Productions
Dances With Wolves,1990-10-19,Majestic Films International
Ghost,1990-07-13,Paramount Pictures
Ghost,1990-07-13,Howard W. Koch Productions
The Godfather Part III,1990-12-20,Paramount Pictures
The Godfather Part III,1990-12-20,Zoetrope Studios
GoodFellas,1990-09-09,Warner Bros.
GoodFellas,1990-09-09,Irwin Winkler Productions
The Hunt for Red October,1990-03-02,Mace Neufeld Productions
The Silence of the Lambs,1991-01-30,Strong Heart Productions
Beauty and the Beast,1991-09-29,Walt Disney Feature Animation
Bugsy,1991-12-10,Mulholland Productions
Bugsy,1991-12-10,Baltimore Pictures
JFK,1991-12-20,Le Studio Canal+ Regency Enterprises Alcor Films
JFK,1991-12-20,Ixtlan Corporation
The Silence of the Lambs,1991-01-30,Strong Heart Productions
Bugsy,1991-12-10,Mulholland Productions
Bugsy,1991-12-10,Baltimore Pictures
JFK,1991-12-20,Le Studio Canal+ Regency Enterprises Alcor Films
JFK,1991-12-20,Ixtlan Corporation
Thelma & Louise,1991-05-20,Metro-Goldwyn-Mayer
Thelma & Louise,1991-05-20,Pathé Entertainment
Thelma & Louise,1991-05-20,Percy Main Productions
Thelma & Louise,1991-05-20,Star Partners III Ltd.
The Silence of the Lambs,1991-01-30,Strong Heart Productions
Bugsy,1991-12-10,Mulholland Productions
Bugsy,1991-12-10,Baltimore Pictures
Cape Fear,1991-11-13,Amblin Entertainment
Cape Fear,1991-11-13,Cappa Films
Cape Fear,1991-11-13,Tribeca Productions
The Fisher King,1991-09-20,Hill/Obst Productions
The Silence of the Lambs,1991-01-30,Strong Heart Productions
Thelma & Louise,1991-05-20,Metro-Goldwyn-Mayer
Thelma & Louise,1991-05-20,Pathé Entertainment
Thelma & Louise,1991-05-20,Percy Main Productions
Thelma & Louise,1991-05-20,Star Partners III Ltd.
Rambling Rose,1991-09-20,Carolco Pictures Midnight Sun Pictures
City Slickers,1991-06-07,Castle Rock Entertainment Face Productions Nelson Entertainment
JFK,1991-12-20,Le Studio Canal+ Regency Enterprises Alcor Films
JFK,1991-12-20,Ixtlan Corporation
Bugsy,1991-12-10,Mulholland Productions
Bugsy,1991-12-10,Baltimore Pictures
Barton Fink,1991-05-18,Circle Films
The Fisher King,1991-09-20,Hill/Obst Productions
Rambling Rose,1991-09-20,Carolco Pictures Midnight Sun Pictures
Cape Fear,1991-11-13,Amblin Entertainment
Cape Fear,1991-11-13,Cappa Films
Cape Fear,1991-11-13,Tribeca Productions
Fried Green Tomatoes,1991-12-27,Avnet/Kerner Productions
Fried Green Tomatoes,1991-12-27,Electric Shadow Productions
Fried Green Tomatoes,1991-12-27,Act III Communications
Thelma & Louise,1991-05-20,Metro-Goldwyn-Mayer
Thelma & Louise,1991-05-20,Pathé Entertainment
Thelma & Louise,1991-05-20,Percy Main Productions
Thelma & Louise,1991-05-20,Star Partners III Ltd.
Bugsy,1991-12-10,Mulholland Productions
Bugsy,1991-12-10,Baltimore Pictures
The Fisher King,1991-09-20,Hill/Obst Productions
The Silence of the Lambs,1991-01-30,Strong Heart Productions
Fried Green Tomatoes,1991-12-27,Avnet/Kerner Productions
Fried Green Tomatoes,1991-12-27,Electric Shadow Productions
Fried Green Tomatoes,1991-12-27,Act III Communications
JFK,1991-12-20,Le Studio Canal+ Regency Enterprises Alcor Films
JFK,1991-12-20,Ixtlan Corporation
The Elementary School,1991-08-01,Filmové Studio Barrandov
Raise the Red Lantern,1991-09-10,Era International
Raise the Red Lantern,1991-09-10,China Film Co-Production Corporation
Doing Time: Life Inside the Big House,1991-02-12,Video Vérité
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991,Women's Educational Media
Birdnesters of Thailand,1991,Wind Horse Productions
A Little Vicious,1991-05-22,Film and Video Workshop
The Mark of the Maker,1991,McGowan Film and Video
Memorial: Letters from American Soldiers,1991,Couturié Company
Session Man,1991,Chanticleer Films
Manipulation,1991,Tandem Films
Beauty and the Beast,1991-09-29,Walt Disney Feature Animation
Bugsy,1991-12-10,Mulholland Productions
Bugsy,1991-12-10,Baltimore Pictures
The Fisher King,1991-09-20,Hill/Obst Productions
JFK,1991-12-20,Le Studio Canal+ Regency Enterprises Alcor Films
JFK,1991-12-20,Ixtlan Corporation
Beauty and the Beast,1991-09-29,Walt Disney Feature Animation
Beauty and the Beast,1991-09-29,Walt Disney Feature Animation
Beauty and the Beast,1991-09-29,Walt Disney Feature Animation
Robin Hood: Prince of Thieves,1991-06-14,Morgan Creek Productions
Hook,1991-12-11,Amblin Entertainment
Terminator 2: Judgment Day,1991-07-01,Carolco Pictures
Terminator 2: Judgment Day,1991-07-01,Pacific Western Productions
Terminator 2: Judgment Day,1991-07-01,Lightstorm Entertainment
Terminator 2: Judgment Day,1991-07-01,Le Studio Canal+
Backdraft,1991-05-24,Imagine Films Entertainment
Backdraft,1991-05-24,Trilogy Entertainment Group
Beauty and the Beast,1991-09-29,Walt Disney Feature Animation
JFK,1991-12-20,Le Studio Canal+ Regency Enterprises Alcor Films
JFK,1991-12-20,Ixtlan Corporation
The Silence of the Lambs,1991-01-30,Strong Heart Productions
Terminator 2: Judgment Day,1991-07-01,Carolco Pictures
Terminator 2: Judgment Day,1991-07-01,Pacific Western Productions
Terminator 2: Judgment Day,1991-07-01,Lightstorm Entertainment
Terminator 2: Judgment Day,1991-07-01,Le Studio Canal+
Backdraft,1991-05-24,Imagine Films Entertainment
Backdraft,1991-05-24,Trilogy Entertainment Group
Star Trek VI:The Undiscovered Country,1991-12-06,Paramount Pictures
Bugsy,1991-12-10,Mulholland Productions
Bugsy,1991-12-10,Baltimore Pictures
Barton Fink,1991-05-18,Circle Films
The Fisher King,1991-09-20,Hill/Obst Productions
Hook,1991-12-11,Amblin Entertainment
Terminator 2: Judgment Day,1991-07-01,Carolco Pictures
Terminator 2: Judgment Day,1991-07-01,Pacific Western Productions
Terminator 2: Judgment Day,1991-07-01,Lightstorm Entertainment
Terminator 2: Judgment Day,1991-07-01,Le Studio Canal+
Hook,1991-12-11,Amblin Entertainment
Star Trek VI:The Undiscovered Country,1991-12-06,Paramount Pictures
Bugsy,1991-12-10,Mulholland Productions
Bugsy,1991-12-10,Baltimore Pictures
The Addams Family,1991-11-22,Paramount Pictures
Barton Fink,1991-05-18,Circle Films
Hook,1991-12-11,Amblin Entertainment
JFK,1991-12-20,Le Studio Canal+ Regency Enterprises Alcor Films
JFK,1991-12-20,Ixtlan Corporation
Bugsy,1991-12-10,Mulholland Productions
Bugsy,1991-12-10,Baltimore Pictures
Terminator 2: Judgment Day,1991-07-01,Carolco Pictures
Terminator 2: Judgment Day,1991-07-01,Pacific Western Productions
Terminator 2: Judgment Day,1991-07-01,Lightstorm Entertainment
Terminator 2: Judgment Day,1991-07-01,Le Studio Canal+
Thelma & Louise,1991-05-20,Metro-Goldwyn-Mayer
Thelma & Louise,1991-05-20,Pathé Entertainment
Thelma & Louise,1991-05-20,Percy Main Productions
Thelma & Louise,1991-05-20,Star Partners III Ltd.
JFK,1991-12-20,Le Studio Canal+ Regency Enterprises Alcor Films
JFK,1991-12-20,Ixtlan Corporation
The Commitments,1991-08-06,Beacon Pictures
The Commitments,1991-08-06,The First Film Company
The Commitments,1991-08-06,Dirty Hands Productions
The Silence of the Lambs,1991-01-30,Strong Heart Productions
Terminator 2: Judgment Day,1991-07-01,Carolco Pictures
Terminator 2: Judgment Day,1991-07-01,Pacific Western Productions
Terminator 2: Judgment Day,1991-07-01,Lightstorm Entertainment
Terminator 2: Judgment Day,1991-07-01,Le Studio Canal+
Thelma & Louise,1991-05-20,Metro-Goldwyn-Mayer
Thelma & Louise,1991-05-20,Pathé Entertainment
Thelma & Louise,1991-05-20,Percy Main Productions
Thelma & Louise,1991-05-20,Star Partners III Ltd.
Terminator 2: Judgment Day,1991-07-01,Carolco Pictures
Terminator 2: Judgment Day,1991-07-01,Pacific Western Productions
Terminator 2: Judgment Day,1991-07-01,Lightstorm Entertainment
Terminator 2: Judgment Day,1991-07-01,Le Studio Canal+
Backdraft,1991-05-24,Imagine Films Entertainment
Backdraft,1991-05-24,Trilogy Entertainment Group
Hook,1991-12-11,Amblin Entertainment
Unforgiven,1992-08-03,Malpaso Productions
The Crying Game,1992-09-02,Palace Pictures
The Crying Game,1992-09-02,Channel Four Films
The Crying Game,1992-09-02,British Screen
The Crying Game,1992-09-02,Nippon Film Development
A Few Good Men,1992-12-09,Castle Rock Entertainment
Howards End,1992-02-27,"Merchant Ivory Productions Sumitomo Corporation Imagica Corporation Cinema Ten JSB Japan Satellite Broadcasting, Inc. Ide Productions FilmFour International"
Scent of a Woman,1992-12-23,City Light Films
Unforgiven,1992-08-03,Malpaso Productions
The Crying Game,1992-09-02,Palace Pictures
The Crying Game,1992-09-02,Channel Four Films
The Crying Game,1992-09-02,British Screen
The Crying Game,1992-09-02,Nippon Film Development
Howards End,1992-02-27,"Merchant Ivory Productions Sumitomo Corporation Imagica Corporation Cinema Ten JSB Japan Satellite Broadcasting, Inc. Ide Productions FilmFour International"
The Player,1992-04-03,Avenue Pictures
The Player,1992-04-03,Spelling Entertainment
The Player,1992-04-03,David Brown Productions
The Player,1992-04-03,Addis-Wechsler
Scent of a Woman,1992-12-23,City Light Films
Scent of a Woman,1992-12-23,City Light Films
Chaplin,1992-12-17,Carolco Pictures
Chaplin,1992-12-17,Le Studio Canal+
Chaplin,1992-12-17,RCS Video
Unforgiven,1992-08-03,Malpaso Productions
The Crying Game,1992-09-02,Palace Pictures
The Crying Game,1992-09-02,Channel Four Films
The Crying Game,1992-09-02,British Screen
The Crying Game,1992-09-02,Nippon Film Development
Malcolm X,1992-11-18,40 Acres and a Mule Filmworks
Howards End,1992-02-27,"Merchant Ivory Productions Sumitomo Corporation Imagica Corporation Cinema Ten JSB Japan Satellite Broadcasting, Inc. Ide Productions FilmFour International"
Indochine,1992-04-15,Paradis Films BAC Films Orly Films Ciné Cinq
Lorenzo's Oil,1992-12-30,Kennedy Miller
Unforgiven,1992-08-03,Malpaso Productions
The Crying Game,1992-09-02,Palace Pictures
The Crying Game,1992-09-02,Channel Four Films
The Crying Game,1992-09-02,British Screen
The Crying Game,1992-09-02,Nippon Film Development
A Few Good Men,1992-12-09,Castle Rock Entertainment
Glengarry Glen Ross,1992-10-02,Zupnik Enterprises
Mr. Saturday Night,1992-09-23,Castle Rock Entertainment New Line Cinema Face Productions
My Cousin Vinny,1992-03-13,Palo Vista Productions
My Cousin Vinny,1992-03-13,Peter V. Miller Investment Corp.
Husbands and Wives,1992-09-14,TriStar Pictures
Enchanted April,1991-11-06,BBC Films
Howards End,1992-02-27,"Merchant Ivory Productions Sumitomo Corporation Imagica Corporation Cinema Ten JSB Japan Satellite Broadcasting, Inc. Ide Productions FilmFour International"
Damage,1992-12-09,Skreba Films
Damage,1992-12-09,Nouvelles Éditions de Films
Damage,1992-12-09,Le Studio Canal+
Damage,1992-12-09,Channel Four Films
Damage,1992-12-09,The European Co-Production Fund
Damage,1992-12-09,Canal+
The Crying Game,1992-09-02,Palace Pictures
The Crying Game,1992-09-02,Channel Four Films
The Crying Game,1992-09-02,British Screen
The Crying Game,1992-09-02,Nippon Film Development
Husbands and Wives,1992-09-14,TriStar Pictures
Lorenzo's Oil,1992-12-30,Kennedy Miller
Unforgiven,1992-08-03,Malpaso Productions
Howards End,1992-02-27,"Merchant Ivory Productions Sumitomo Corporation Imagica Corporation Cinema Ten JSB Japan Satellite Broadcasting, Inc. Ide Productions FilmFour International"
Enchanted April,1991-11-06,BBC Films
The Player,1992-04-03,Avenue Pictures
The Player,1992-04-03,Spelling Entertainment
The Player,1992-04-03,David Brown Productions
The Player,1992-04-03,Addis-Wechsler
Scent of a Woman,1992-12-23,City Light Films
Indochine,1992-04-15,Paradis Films BAC Films Orly Films Ciné Cinq
UrgaClose to Eden,1991,Aria Caméra One Centre National de la Cinématographie Hachette Première Ministry of Culture and Communications Studio Trite Union Générale Cinématographique
The Panama Deception,1992-07-31,Empowerment Project
Changing Our Minds: The Story of Dr. Evelyn Hooker,1992,Intrepid Productions
The Liberators: Fighting on Two Fronts in World War II,1992-11-11,Miles Educational Film Productions
