title,releasedate,budget,boxOffice,runtime,movieLanguage
Morocco,1930-11-14,"$491,299.36",,91,English
Cimarron,1931-01-26,"$1,433,000","$1,383,000",124,English
Holiday,1930-07-03,,,98,English
A Free Soul,1931-06-02,"$529,000",$1.4 million,91,English
The Dawn Patrol,1930-07-10,"$729,000","$1,624,000",90,English
The Doorway to Hell,1930-10-18,"$240,000","$688,000",78,English
Laughter,1930-09-25,,,85,English
The Public Enemy,1931-04-23,"$151,000 or $230,000","$557,000",83,English
Smart Money,1931-07-11,,,81,English
Cimarron,1931-01-26,"$1,433,000","$1,383,000",124,English
The Criminal Code,1931-01-03,,,96,English
Holiday,1930-07-03,,,98,English
Little Caesar,1931-01-09,"$281,000","$752,000",79,English
Skippy,1931-04-05,,,85,English
Cimarron,1931-01-26,"$1,433,000","$1,383,000",124,English
Just Imagine,1930-11-23,"$1,100,000",,109,English
Morocco,1930-11-14,"$491,299.36",,91,English
Svengali,1931-05-01,,,81,
Whoopee,1930-09-30,$1.9 million,"$2,655,000",101,English
Tabu: A Story of the South Seas,1931-03-18,"$150,000","$472,000",84,Sound
Cimarron,1931-01-26,"$1,433,000","$1,383,000",124,English
Morocco,1930-11-14,"$491,299.36",,91,English
The Right to Love,1930-12-27,,,79,English
Svengali,1931-05-01,,,81,
Grand Hotel,1932-04-12,"$750,000","$2,594,000",112,English
Arrowsmith,1931-12-07,,$1.25 million,108,English
Bad Girl,1931-08-14,"Under $100,000",$1.1 million,90,English
The Champ,1931-11-09,"$356,000",$1.6 million,87,English
Five Star Final,1931-09-26,"$310,000","$822,000",89,English
One Hour with You,1932-03-22,,,80,English
Shanghai Express,1932-02-12,,$1.5 million,80,English
The Smiling Lieutenant,1931-08-01,,,89,English
Bad Girl,1931-08-14,"Under $100,000",$1.1 million,90,English
The Champ,1931-11-09,"$356,000",$1.6 million,87,English
Shanghai Express,1932-02-12,,$1.5 million,80,English
Dr. Jekyll and Mr. Hyde,1931-12-24,"$535,000",$1.25 million,96,English
The Champ,1931-11-09,"$356,000",$1.6 million,87,English
The Guardsman,1931-11-07,"$374,000",,89,English
The Sin of Madelon Claudet,1931-10-24,,,75,English
Emma,1932-01-02,"$350,000","$1,972,000",72,English
The Guardsman,1931-11-07,"$374,000",,89,English
The Champ,1931-11-09,"$356,000",$1.6 million,87,English
Lady and Gent,1932-07-15,,,84,English
The Star Witness,1931-08-22,,,68,English
What Price Hollywood?,1932-06-02,"$416,000","$571,000",88,English
Bad Girl,1931-08-14,"Under $100,000",$1.1 million,90,English
Arrowsmith,1931-12-07,,$1.25 million,108,English
Dr. Jekyll and Mr. Hyde,1931-12-24,"$535,000",$1.25 million,96,English
Transatlantic,1931-08-30,,,78,English
À nous la liberté,1931-12-18,,,104,French
Arrowsmith,1931-12-07,,$1.25 million,108,English
Shanghai Express,1932-02-12,,$1.5 million,80,English
Arrowsmith,1931-12-07,,$1.25 million,108,English
Dr. Jekyll and Mr. Hyde,1931-12-24,"$535,000",$1.25 million,96,English
Flowers and Trees,1932-07-30,,,8,English
It's Got Me Again! (1932),1932-05-14,,,7,English
Mickey's Orphans,1931-12-05,,,7,English
The Music Box,1932-04-16,,,29,English
The Loud Mouth,1932-06-17,,,20,English
Scratch-As-Catch-Can,1932-11-06,,,19,English
Wrestling Swordfish,1931-11-08,,,8,English
Screen Souvenirs,1932,,,,English
Swing High,1932-11-12,,,10,English
Cavalcade,1933-04-15,"$1,180,280","$1,004,000  $3.5 million",112,English
42nd Street,1933-03-09,"$439,000",$2.3 million,89,English
A Farewell to Arms,1932-12-08,"$900,000",$1 million,88,English
I Am a Fugitive from a Chain Gang,1932-11-10,"$228,000","$1,599,000",93,English
Lady for a Day,1933-09-13,"$300,000",,96,English
Little Women,1933-11-16,"$424,000","$2,070,000",115,English
The Private Life of Henry VIII,1933-08-17,"£93,710","£750,000",97,English
She Done Him Wrong,1933-01-27,"$200,000",$2.2 million,66,English
Smilin' Through,1932-09-24,"$851,000","$2,033,000",98,English
State Fair,1933-02-10,"$600,000","$1,208,000",97,
Cavalcade,1933-04-15,"$1,180,280","$1,004,000  $3.5 million",112,English
Lady for a Day,1933-09-13,"$300,000",,96,English
Little Women,1933-11-16,"$424,000","$2,070,000",115,English
The Private Life of Henry VIII,1933-08-17,"£93,710","£750,000",97,English
Berkeley Square,1933-09-13,,,85,English
I Am a Fugitive from a Chain Gang,1932-11-10,"$228,000","$1,599,000",93,English
Morning Glory,1933-08-18,"$239,000","$582,000",70,English
Lady for a Day,1933-09-13,"$300,000",,96,English
Cavalcade,1933-04-15,"$1,180,280","$1,004,000  $3.5 million",112,English
One Way Passage,1932-10-22,"$350,000","$1,108,000",68,English
The Prizefighter and the Lady,1933-11-10,"$682,000","$933,000",102,English
Rasputin and the Empress,1932-12-23,"$1,022,000","$1,379,000",121,English
Little Women,1933-11-16,"$424,000","$2,070,000",115,English
Lady for a Day,1933-09-13,"$300,000",,96,English
State Fair,1933-02-10,"$600,000","$1,208,000",97,
Cavalcade,1933-04-15,"$1,180,280","$1,004,000  $3.5 million",112,English
A Farewell to Arms,1932-12-08,"$900,000",$1 million,88,English
When Ladies Meet,1933-06-23,,,85,English
A Farewell to Arms,1932-12-08,"$900,000",$1 million,88,English
Reunion in Vienna,1933-06-16,"$478,000","$643,000",100,English
The Sign of the Cross,1932-11-30,"$694,065","$2,738,993",125,English
So This Is Harris,1933-08-13,,,28,English
Mister Mugg,1933-05-10,,,20,English
A Preferred List,1933,,,20,English
Krakatoa,1933-04-23,,,26,English
Menu,1933-09-23,,,10,English
The Sea,1933-05-07,,,9,Polish
Three Little Pigs,1933-05-25,"$22,000","$250,000",8,English
Building a Building,1933-01-07,,,7,English
The Merry Old Soul,1933-11-27,,,8,English
A Farewell to Arms,1932-12-08,"$900,000",$1 million,88,English
42nd Street,1933-03-09,"$439,000",$2.3 million,89,English
Gold Diggers of 1933,1933-05-27,"$433,000","$3,231,000",90,English
I Am a Fugitive from a Chain Gang,1932-11-10,"$228,000","$1,599,000",93,English
It Happened One Night,1934-02-22,"$325,000",$2.5 million,105,English
The Barretts of Wimpole Street,1934-09-14,"$820,000","$1,258,000  $1,085,000",110,English
Cleopatra,1934-08-16,"$842,908","$1,929,161",100,English
Flirtation Walk,1934-12-01,"$479,000","$1,533,000",85,English
The Gay Divorcee,1934-10-19,"$520,000",$1.8 million,107,English
Here Comes the Navy,1934-07-21,"$263,000","$1,758,000",87,English
The House of Rothschild,1934-04-07,,$1 million,88,English
Imitation of Life,1934-11-26,,,111,English
One Night of Love,1934-09-05,"$500,000","$2,500,000",83,English
The Thin Man,1934-05-25,"$231,000",$1.4 million,91,English
Viva Villa!,1934-04-10,"$1,022,000","$1,969,000",115,English
The White Parade,1934-11-16,,,80,English
It Happened One Night,1934-02-22,"$325,000",$2.5 million,105,English
One Night of Love,1934-09-05,"$500,000","$2,500,000",83,English
The Thin Man,1934-05-25,"$231,000",$1.4 million,91,English
It Happened One Night,1934-02-22,"$325,000",$2.5 million,105,English
The Affairs of Cellini,1934-08-24,,,80,English
The Thin Man,1934-05-25,"$231,000",$1.4 million,91,English
It Happened One Night,1934-02-22,"$325,000",$2.5 million,105,English
Of Human Bondage,1934-06-28,"$403,000","$592,000",83,English
One Night of Love,1934-09-05,"$500,000","$2,500,000",83,English
The Barretts of Wimpole Street,1934-09-14,"$820,000","$1,258,000  $1,085,000",110,English
Manhattan Melodrama,1934-05-04,"$355,000",$1.2 million,93,English
Hide-Out,1934-08-24,,,81,English
The Richest Girl in the World,1934-09-21,,,76,English
It Happened One Night,1934-02-22,"$325,000",$2.5 million,105,English
The Thin Man,1934-05-25,"$231,000",$1.4 million,91,English
Viva Villa!,1934-04-10,"$1,022,000","$1,969,000",115,English
La Cucaracha,1934-08-31,,,20,English
Men in Black,1934-09-28,,,18,English
"What, No Men?",1934-01-05,,,21,English
City of Wax,1934-02-09,,,20,English
Bosom Friends,1934,,,,English
Strikes and Spares,1934-10-20,,,9,English
The Tortoise and the Hare,1935-01-05,,,8,English
Holiday Land,1934-11-09,,,8,English
Jolly Little Elves,1934-10-01,,,8,English
One Night of Love,1934-09-05,"$500,000","$2,500,000",83,English
The Gay Divorcee,1934-10-19,"$520,000",$1.8 million,107,English
The Lost Patrol,1934-02-16,"$262,000","$583,000",73,English
The Gay Divorcee,1934-10-19,"$520,000",$1.8 million,107,English
Flying Down to Rio,1933-12-21,"$462,000","$1,545,000",89,English
She Loves Me Not,1934-08-31,,,85,English
One Night of Love,1934-09-05,"$500,000","$2,500,000",83,English
The Affairs of Cellini,1934-08-24,,,80,English
Cleopatra,1934-08-16,"$842,908","$1,929,161",100,English
Flirtation Walk,1934-12-01,"$479,000","$1,533,000",85,English
The Gay Divorcee,1934-10-19,"$520,000",$1.8 million,107,English
Imitation of Life,1934-11-26,,,111,English
Viva Villa!,1934-04-10,"$1,022,000","$1,969,000",115,English
The White Parade,1934-11-16,,,80,English
The Merry Widow,1934-10-11,"$1,605,000",$2.8 million,99,English
The Affairs of Cellini,1934-08-24,,,80,English
The Gay Divorcee,1934-10-19,"$520,000",$1.8 million,107,English
Cleopatra,1934-08-16,"$842,908","$1,929,161",100,English
The Affairs of Cellini,1934-08-24,,,80,English
Operator 13,1934-06-08,"$880,000","$1,010,000",85,English
Eskimo,1933-11-14,"$935,000","$1,312,000",117,English
Cleopatra,1934-08-16,"$842,908","$1,929,161",100,English
One Night of Love,1934-09-05,"$500,000","$2,500,000",83,English
Viva Villa!,1934-04-10,"$1,022,000","$1,969,000",115,English
Cleopatra,1934-08-16,"$842,908","$1,929,161",100,English
Imitation of Life,1934-11-26,,,111,English
Mutiny on the Bounty,1935-11-08,"$1,950,000","$4,460,000",132,English
Alice Adams,1935-08-15,"$342,000","$770,000",99,English
Broadway Melody of 1936,1935-09-20,"$1,062,000","$2,871,000",101,English
Captain Blood,1935-12-28,"$1,242,000 or $995,000","$3,090,000",119,English
David Copperfield,1935-01-18,"$1,073,000","$3,064,000",129,English
The Informer,1935-05-09,"$243,000","$950,000",91,English
The Lives of a Bengal Lancer,1935-01-11,,$1.5 million,109,English
A Midsummer Night's Dream,1935-10-30,"$981,000",$1.2 million,133,English
Les Misérables,1935-04-20,,,103,English
Naughty Marietta,1935-03-08,"$782,000",$2.1 million,103,English
Ruggles of Red Gap,1935-03-08,,,90,English
Top Hat,1935-08-29,"$609,000",$3.2 million,101,English
The Informer,1935-05-09,"$243,000","$950,000",91,English
Captain Blood,1935-12-28,"$1,242,000 or $995,000","$3,090,000",119,English
The Lives of a Bengal Lancer,1935-01-11,,$1.5 million,109,English
Mutiny on the Bounty,1935-11-08,"$1,950,000","$4,460,000",132,English
The Informer,1935-05-09,"$243,000","$950,000",91,English
Mutiny on the Bounty,1935-11-08,"$1,950,000","$4,460,000",132,English
Black Fury,1935-05-18,,,94,English
Dangerous,1935-12-25,,$2.2 million,79,English
Escape Me Never,1935-04-01,,,102,English
Private Worlds,1935-04-19,"$435,032","$819,118",84,English
Alice Adams,1935-08-15,"$342,000","$770,000",99,English
Becky Sharp,1935-06-13,,,84,English
The Dark Angel,1935-09-08,$1 million,,110,English
The Scoundrel,1935-04-30,,,76,English
Broadway Melody of 1936,1935-09-20,"$1,062,000","$2,871,000",101,English
G Men,1935-04-18,"$307,000","$1,963,000",85,English
The Gay Deception,1935-09-13,,,75,English
The Informer,1935-05-09,"$243,000","$950,000",91,English
Captain Blood,1935-12-28,"$1,242,000 or $995,000","$3,090,000",119,English
The Lives of a Bengal Lancer,1935-01-11,,$1.5 million,109,English
Mutiny on the Bounty,1935-11-08,"$1,950,000","$4,460,000",132,English
How to Sleep,1935-09-14,,,11,English
"Oh, My Nerves",1935-10-17,,,18,English
Tit for Tat,1935-01-05,,,19,English
Wings over Everest,1934-6,,,22,English
Audioscopiks,1935-12-26,,,8,English
Camera Thrills,1935-09-01,,,25,English
Three Orphan Kittens,1935-10-26,,,9,English
Who Killed Cock Robin?,1935-06-26,,,8,English
The Informer,1935-05-09,"$243,000","$950,000",91,English
Captain Blood,1935-12-28,"$1,242,000 or $995,000","$3,090,000",119,English
Mutiny on the Bounty,1935-11-08,"$1,950,000","$4,460,000",132,English
Peter Ibbetson,1935-10-31,,,88,English
Gold Diggers of 1935,1935-03-16,"$567,000","$1,365,000",95,English
Top Hat,1935-08-29,"$609,000",$3.2 million,101,English
Roberta,1935-03-08,"$610,000 ( Cost: ~$750,000)","$2,335,000",105,English
Naughty Marietta,1935-03-08,"$782,000",$2.1 million,103,English
"1,000 Dollars a Minute",1935-10-22,,,70,English
Bride of Frankenstein,1935-04-19,"$397,000",$2 million,75,English
Captain Blood,1935-12-28,"$1,242,000 or $995,000","$3,090,000",119,English
The Dark Angel,1935-09-08,$1 million,,110,English
I Dream Too Much,1935-11-27,"$627,000","$640,000",97,English
The Lives of a Bengal Lancer,1935-01-11,,$1.5 million,109,English
Love Me Forever,1935-06-28,,"$745,900",91,English
Thanks a Million,1935-10-25,,,87,English
The Dark Angel,1935-09-08,$1 million,,110,English
The Lives of a Bengal Lancer,1935-01-11,,$1.5 million,109,English
Top Hat,1935-08-29,"$609,000",$3.2 million,101,English
A Midsummer Night's Dream,1935-10-30,"$981,000",$1.2 million,133,English
Barbary Coast,1935-10-13,$1 million,,90,English
The Crusades,1935-08-21,$1.4 million,$1.7 million,125,English
Les Misérables,1935-04-20,,,103,English
A Midsummer Night's Dream,1935-10-30,"$981,000",$1.2 million,133,English
David Copperfield,1935-01-18,"$1,073,000","$3,064,000",129,English
The Informer,1935-05-09,"$243,000","$950,000",91,English
The Lives of a Bengal Lancer,1935-01-11,,$1.5 million,109,English
Les Misérables,1935-04-20,,,103,English
Mutiny on the Bounty,1935-11-08,"$1,950,000","$4,460,000",132,English
Broadway Melody of 1936,1935-09-20,"$1,062,000","$2,871,000",101,English
All the King's Horses,1935-02-13,,,87,English
Broadway Hostess,1935-12-07,,,68,English
Gold Diggers of 1935,1935-03-16,"$567,000","$1,365,000",95,English
